Ticker,base_id,ticker_no,exchange_id,reference_id,source_no,pair_id,Name,Description,Refreshed,start,end,exchange
CME_YW1,546,1052,16,257,5,642,"Mini Wheat Futures, Continuous Contract #1 (YW1) (Front Month)","Historical Futures Prices: Mini Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,3/5/2014,7/15/2019,CME
CME_Z11,547,1053,16,257,5,643,"Ethanol T2 FOB Rdam Including Duty (Platts) Futures, Continuous Contract #1 (Z11) (Front Month)","Historical Futures Prices: Ethanol T2 FOB Rdam Including Duty (Platts) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,3/5/2014,7/15/2019,CME
EUREX_FHOG1,548,1054,21,257,5,644,"Hog Futures, Continuous Contract #1 (FHOG1) (Front Month)","Historical Futures Prices: Hog Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from EUREX. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",3/13/2017 07:28,9/9/2013,6/12/2015,EUREX
ICE_CC1,549,1055,10,257,5,645,"Cocoa Futures, Continuous Contract","Historical Futures Prices: Cocoa Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,10/1/1968,7/15/2019,ICE
ICE_CT1,550,1056,10,257,5,646,"Cotton No. 2 Futures, Continuous Contract","Historical Futures Prices: Cotton No. 2 Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,7/1/1959,7/15/2019,ICE
ICE_DW1,551,1057,10,257,5,647,"Durum Wheat Futures, Continuous Contract #1 (DW1) (Front Month)","Historical Futures Prices: Durum Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",10/28/2017 23:29,1/23/2012,10/25/2017,ICE
ICE_G1,552,1058,10,257,5,648,"Gas Oil Futures, Continuous Contract","Historical Futures Prices: Gas Oil Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",7/16/2019 02:28,8/17/1990,7/15/2019,ICE
ICE_IBO1,553,1059,10,257,5,649,"Soybean Oil Futures, Continuous Contract","Historical Futures Prices: Soybean Oil Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",6/11/2018 23:26,5/11/2012,6/8/2018,ICE
ICE_ICN1,554,1060,10,257,5,650,"Corn Futures, Continuous Contract","Historical Futures Prices: Corn Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",6/11/2018 23:26,5/11/2012,6/8/2018,ICE
ICE_IS1,555,1061,10,257,5,651,"Soybean Futures, Continuous Contract","Historical Futures Prices: Soybean Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ICE.",8/1/2018 23:26,5/11/2012,7/30/2018,ICE
