code,base_id,reference_asset_id,name,description,refreshed_at,from_date,to_date
CME_X123,3647,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #23 (X123)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #23. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",3/10/2019 03:27,2/18/2014,3/8/2019
CME_X124,3648,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #24 (X124)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #24. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2/10/2019 03:27,2/18/2014,2/8/2019
CME_X125,3649,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #25 (X125)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #25. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/31/2018 03:27,2/18/2014,12/28/2018
CME_X126,3650,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #26 (X126)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #26. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/10/2018 03:27,2/18/2014,12/7/2018
CME_X127,3651,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #27 (X127)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #27. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",11/10/2018 03:27,2/18/2014,11/9/2018
CME_X128,3652,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #28 (X128)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #28. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",10/8/2018 23:28,2/18/2014,10/8/2018
CME_X129,3653,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #29 (X129)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #29. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",9/11/2018 23:28,2/18/2014,9/11/2018
CME_X13,3654,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #3 (X13)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_X130,3655,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #30 (X130)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #30. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",8/8/2018 23:28,2/18/2014,8/7/2018
CME_X131,3656,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #31 (X131)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #31. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/10/2018 23:28,2/18/2014,7/10/2018
CME_X132,3657,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #32 (X132)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #32. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",6/10/2018 23:28,2/18/2014,6/8/2018
CME_X133,3658,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #33 (X133)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #33. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",5/8/2018 23:29,8/6/2015,5/7/2018
CME_X134,3659,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #34 (X134)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #34. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",4/9/2018 23:30,8/6/2015,4/6/2018
CME_X135,3660,523,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #35 (X135)","Historical Futures Prices: PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #35. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",3/10/2018 03:28,8/6/2015,3/9/2018
